,organ,dose,A1_max,A2_max,A1_mean,A2_mean,A1_min,A2_min,A1_range,A2_range,A1_std,A2_std
0,Aorta,V2,10.75,29.219,-0.441,0.746,-10.703,-32.047,21.453,61.266,4.287,5.83
1,Aorta,V5,8.797,17.219,0.317,0.236,-4.188,-36.266,12.984,53.484,2.021,4.621
2,Aorta,V10,5.953,4.672,0.243,-0.292,-2.188,-18.125,8.141,22.797,1.199,2.545
3,BronchialTree,V2,5.344,17.547,-0.159,-0.272,-7.438,-4.938,12.781,22.484,1.587,2.019
4,BronchialTree,V5,2.047,1.562,-0.085,-0.119,-3.5,-2.172,5.547,3.734,0.846,0.696
5,BronchialTree,V10,2.938,3.906,0.132,-0.181,-2.938,-4.969,5.875,8.875,0.805,1.033
6,CW,V2,36.453,34.594,-28.176,-9.74,-444.344,-233.766,480.797,268.359,61.896,44.68
7,CW,V5,28.172,33.469,-16.533,-4.72,-352.578,-139.844,380.75,173.312,42.005,27.189
8,CW,V10,18.5,32.062,-4.743,2.668,-134.938,-18.359,153.438,50.422,17.482,6.946
9,Esophagus,V2,3.641,3.438,0.004,-0.331,-1.625,-6.188,5.266,9.625,0.664,1.042
10,Esophagus,V5,2.203,3.0,0.073,-0.095,-1.672,-3.906,3.875,6.906,0.512,0.742
11,Esophagus,V10,0.719,1.094,0.031,0.021,-0.281,-0.672,1.0,1.766,0.143,0.28
12,Heart,V2,58.516,98.641,-3.724,-8.684,-174.547,-249.266,233.062,347.906,31.655,48.275
13,Heart,V5,32.875,46.75,1.553,0.896,-25.25,-33.328,58.125,80.078,8.399,9.532
14,Heart,V10,7.266,15.531,0.77,0.454,-3.141,-18.75,10.406,34.281,1.948,5.45
15,LN,V2,20.109,7.938,-2.994,-3.072,-18.109,-32.703,38.219,40.641,5.93,6.388
16,LN,V5,11.75,10.203,-0.655,-1.178,-7.75,-39.766,19.5,49.969,2.968,4.628
17,LN,V10,7.172,5.891,0.214,-0.842,-3.453,-16.953,10.625,22.844,1.592,2.773
18,Lungs-ITV,V2,120.453,196.453,-19.739,-46.744,-280.875,-522.938,401.328,719.391,65.33,119.455
19,Lungs-ITV,V5,63.484,107.594,-5.56,-9.831,-197.844,-208.219,261.328,315.812,33.189,40.041
20,Lungs-ITV,V10,48.766,22.156,-0.406,-2.127,-84.578,-36.156,133.344,58.312,15.319,9.314
21,PulmonaryArtery,V2,7.562,15.578,-1.152,-0.67,-39.266,-23.719,46.828,39.297,6.824,6.502
22,PulmonaryArtery,V5,6.734,13.125,-0.048,-0.773,-11.656,-23.578,18.391,36.703,2.176,6.485
23,PulmonaryArtery,V10,1.578,6.797,-0.032,-0.371,-1.453,-14.031,3.031,20.828,0.567,3.889
24,SpinalCanal,V2,3.734,1.219,0.023,-0.329,-1.5,-3.172,5.234,4.391,0.643,0.673
25,SpinalCanal,V5,8.812,0.906,0.298,-0.292,-0.859,-4.484,9.672,5.391,1.266,0.794
26,SpinalCanal,V10,4.375,0.75,0.431,-0.078,-0.391,-1.234,4.766,1.984,0.903,0.364
27,TSpine,V2,24.469,17.031,-2.784,1.095,-97.734,-11.094,122.203,28.125,17.81,3.626
28,TSpine,V5,5.797,13.438,-1.92,0.877,-51.5,-10.719,57.297,24.156,10.193,3.406
29,TSpine,V10,2.531,7.078,-1.753,0.283,-24.562,-8.516,27.094,15.594,6.502,2.205
30,Trachea,V2,2.984,1.234,-0.709,-0.57,-5.266,-4.219,8.25,5.453,1.501,1.11
31,Trachea,V5,1.062,2.328,-0.646,-0.396,-5.531,-4.469,6.594,6.797,1.162,1.094
32,Trachea,V10,0.438,1.812,0.01,-0.417,-0.125,-3.156,0.562,4.969,0.198,0.964
33,VC,V2,2.594,2.359,-0.866,-0.201,-9.562,-2.969,12.156,5.328,2.438,0.874
34,VC,V5,2.031,2.359,0.152,-0.119,-1.047,-5.859,3.078,8.219,0.647,0.938
35,VC,V10,2.219,1.891,0.081,-0.165,-0.984,-1.984,3.203,3.875,0.798,0.771
