organ,"A1, V2","A2, V2","A1, V5","A2, V5","A1, V10","A2, V10"
Aorta,-0.523,0.903,0.304,0.273,0.148,-0.250
BronchialTree,-0.175,-0.301,-0.085,-0.108,0.092,-0.122
CW,-33.997,-11.703,-19.949,-5.671,-5.724,3.206
Esophagus,0.005,-0.397,0.054,-0.101,0.012,0.014
Heart,-4.124,-8.818,1.335,0.910,0.528,0.295
LN,-3.612,-3.691,-0.790,-1.415,0.168,-0.894
Lungs-ITV,-23.818,-56.166,-6.708,-11.812,-0.490,-2.555
PulmonaryArtery,-1.105,-0.570,-0.038,-0.579,-0.017,-0.204
SpinalCanal,0.026,-0.395,0.170,-0.323,0.118,-0.049
TSpine,-3.359,1.316,-1.936,0.972,-0.956,0.248
Trachea,-0.576,-0.524,-0.293,-0.278,0.001,-0.180
VC,-0.732,-0.195,0.086,-0.092,0.013,-0.080
